time,FLOW,TEMP,SALT,OXY_oxy,CAR_dic,CAR_ch4,SIL_rsi,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,OGM_poc,OGM_don,OGM_donr,OGM_pon,OGM_dop,OGM_dopr,OGM_pop,PHY_cyano,PHY_green,PHY_diatom
2021-07-17,0.0036,20.4828,0,264.6617,66.0129,0,120.9013,0.4558,2.7724,0.2176,7.4938,101.1657,10.8659,1.1463,10.317,2.2927,0.024,0.2163,0.5607,0,0,0
2021-07-18,0.0028,20.2091,0,266.1036,66.6476,0,120.9013,0.425,2.7204,0.2211,7.4938,101.1657,10.8659,1.103,9.9267,2.2059,0.0236,0.2126,0.5512,0,0,0
2021-07-19,0.0026,19.7904,0,268.336,67.2824,0,120.9013,0.3942,2.6685,0.2246,7.4938,101.1657,10.8659,1.0596,9.5363,2.1192,0.0232,0.2089,0.5417,0,0,0
2021-07-20,0.0025,19.3756,0,270.581,67.9171,0,120.9013,0.3634,2.6165,0.2281,7.4938,101.1657,10.8659,1.0162,9.146,2.0325,0.0228,0.2053,0.5322,0,0,0
2021-07-21,0.0024,19.7072,0,268.7838,68.5518,0,120.9013,0.3326,2.5645,0.2316,7.4938,101.1657,10.8659,0.9729,8.7557,1.9457,0.0224,0.2016,0.5227,0,0,0
2021-07-22,0.0022,19.2141,0,271.4645,68.7105,0,120.9013,0.3372,2.5739,0.2299,7.5631,102.1024,10.9666,0.9881,8.8925,1.9761,0.0228,0.2048,0.5311,0,0,0
2021-07-23,0.0022,19.0214,0,272.525,68.8692,0,120.9013,0.3418,2.5833,0.2281,7.6325,103.0391,11.0672,1.0033,9.0293,2.0065,0.0231,0.2081,0.5395,0,0,0
2021-07-24,0.0022,19.634,0,269.1789,69.0279,0,120.9013,0.3465,2.5927,0.2264,7.7019,103.9759,11.1678,1.0185,9.1661,2.0369,0.0235,0.2113,0.5479,0,0,0
2021-07-25,0.003,20.3861,0,265.1693,69.1866,0,120.9013,0.3511,2.6022,0.2246,7.7713,104.9126,11.2684,1.0337,9.3029,2.0673,0.0238,0.2146,0.5562,0,0,0
2021-07-26,0.0076,20.4774,0,264.6901,69.3453,0,120.9013,0.3557,2.6116,0.2229,7.8407,105.8493,11.369,1.0489,9.4397,2.0977,0.0242,0.2178,0.5646,0,0,0
2021-07-27,0.0034,20.4215,0,264.9837,69.504,0,120.9013,0.3603,2.621,0.2211,7.9101,106.786,11.4696,1.0641,9.5765,2.1281,0.0246,0.221,0.573,0,0,0
2021-07-28,0.0027,20.6672,0,263.6983,69.6626,0,120.9013,0.3649,2.6304,0.2194,7.9795,107.7227,11.5702,1.0793,9.7133,2.1585,0.0249,0.2243,0.5814,0,0,0
2021-07-29,0.0025,20.6052,0,264.0215,69.8213,0,120.9013,0.3695,2.6398,0.2176,8.0488,108.6595,11.6708,1.0945,9.8501,2.1889,0.0253,0.2275,0.5898,0,0,0
2021-07-30,0.0023,21.3374,0,260.2483,69.98,0,120.9013,0.3742,2.6492,0.2159,8.1182,109.5962,11.7714,1.1097,9.9869,2.2193,0.0256,0.2307,0.5982,0,0,0
2021-07-31,0.0022,19.9448,0,267.509,70.1387,0,120.9013,0.3788,2.6586,0.2141,8.1876,110.5329,11.8721,1.1249,10.1237,2.2497,0.026,0.234,0.6066,0,0,0
